New York City Department of Education,,,,,,,,,,,,,,,
NYC Results on the New York State 2013-2016 Math Test (Grades 3-8),,,,,,,,,,,,,,,
District Summary,,,,,,,,,,,,,,,
Results for All Students,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,Level 1,,Level 2,,Level 3,,Level 4,,Level 3+4,
district,Grade,Year,Category,Number Tested,Mean Scale Score,#,%,#,%,#,%,#,%,#,%
3,3,2013,All Students,1507,316,306,20.3,416,27.6,354,23.5,431,28.6,785,52.1
3,3,2014,All Students,1412,315,289,20.5,370,26.2,349,24.7,404,28.6,753,53.3
3,3,2015,All Students,1304,315,285,21.9,335,25.7,290,22.2,394,30.2,684,52.5
3,3,2016,All Students,1332,318,258,19.4,316,23.7,294,22.1,464,34.8,758,56.9
3,4,2013,All Students,1315,315,291,22.1,342,26,281,21.4,401,30.5,682,51.9
3,4,2014,All Students,1442,324,266,18.4,305,21.2,295,20.5,576,39.9,871,60.4
3,4,2015,All Students,1343,321,263,19.6,291,21.7,288,21.4,501,37.3,789,58.7
3,4,2016,All Students,1240,322,251,20.2,262,21.1,225,18.1,502,40.5,727,58.6
3,5,2013,All Students,1401,308,506,36.1,333,23.8,295,21.1,267,19.1,562,40.1
3,5,2014,All Students,1290,319,326,25.3,266,20.6,327,25.3,371,28.8,698,54.1
3,5,2015,All Students,1344,325,281,20.9,269,20,346,25.7,448,33.3,794,59.1
3,5,2016,All Students,1292,320,333,25.8,271,21,291,22.5,397,30.7,688,53.3
3,6,2013,All Students,1337,307,350,26.2,462,34.6,231,17.3,294,22,525,39.3
3,6,2014,All Students,1368,313,338,24.7,396,28.9,239,17.5,395,28.9,634,46.3
3,6,2015,All Students,1282,318,256,20,347,27.1,256,20,423,33,679,53
3,6,2016,All Students,1367,320,241,17.6,381,27.9,254,18.6,491,35.9,745,54.5
3,7,2013,All Students,1346,306,514,38.2,341,25.3,246,18.3,245,18.2,491,36.5
3,7,2014,All Students,1277,312,384,30.1,341,26.7,282,22.1,270,21.1,552,43.2
3,7,2015,All Students,1315,315,354,26.9,344,26.2,304,23.1,313,23.8,617,46.9
3,7,2016,All Students,1240,320,276,22.3,323,26,291,23.5,350,28.2,641,51.7
3,8,2013,All Students,1257,306,357,28.4,452,36,271,21.6,177,14.1,448,35.6
