"date","close","volume","open","high","low"
"2012/07/17","183.6500","5158142.0000","185.7300","186.2900","183.2000"
"2012/07/16","184.7900","3144328.0000","185.5800","186.1000","184.5800"
"2012/07/13","186.0100","3932965.0000","183.4600","186.3300","183.0300"
"2012/07/12","183.0900","4924203.0000","184.2500","184.3900","181.8500"
"2012/07/11","185.2500","5455666.0000","186.2200","187.3600","183.5100"
"2012/07/10","186.2600","4690062.0000","190.3000","191.1400","185.6000"
"2012/07/09","189.6700","3988056.0000","190.7600","190.9991","188.0500"
"2012/07/06","191.4100","4952850.0000","193.9200","193.9400","189.7400"
"2012/07/05","195.2900","2689181.0000","194.8800","196.8500","193.6300"
"2012/07/03","195.9300","1451425.0000","195.4600","196.3400","194.9100"
"2012/07/02","195.8300","2831680.0000","196.3600","197.2000","194.8500"
"2012/06/29","195.5800","5259456.0000","194.5500","195.8100","192.4100"
"2012/06/28","191.4000","3967165.0000","191.2300","192.0800","188.9000"
"2012/06/27","193.0000","2762612.0000","192.1400","193.7000","190.9000"
"2012/06/26","191.9500","3435650.0000","193.5400","193.6800","190.7500"
"2012/06/25","192.8600","3211529.0000","192.4800","193.3900","191.6800"
"2012/06/22","193.7000","8794705.0000","193.8700","194.8800","193.2200"
"2012/06/21","193.3900","4316544.0000","199.0700","199.4500","193.1900"
"2012/06/20","198.7800","3378824.0000","198.7000","199.7400","197.5000"
"2012/06/19","198.9300","3297517.0000","198.8300","199.9900","198.8000"
"2012/06/18","198.2900","3378912.0000","197.5700","199.6400","197.1700"
"2012/06/15","199.1000","6388683.0000","196.0800","199.2700","195.4000"
"2012/06/14","195.1000","3584845.0000","193.0000","195.8300","192.7400"
"2012/06/13","193.1000","3246784.0000","194.3600","195.1900","192.3450"
"2012/06/12","194.5500","3023630.0000","192.1400","194.6700","192.1400"
"2012/06/11","192.5100","3273211.0000","196.6000","196.7000","192.3700"
"2012/06/08","195.1400","2479147.0000","193.7100","195.1400","192.7000"
"2012/06/07","194.4400","3701066.0000","195.2800","195.8299","193.9400"
"2012/06/06","193.9900","3622647.0000","190.7800","194.0000","190.0200"
"2012/06/05","189.2000","3556287.0000","187.9200","189.8500","187.5600"
"2012/06/04","188.5400","4623963.0000","188.3400","189.3800","187.0000"
"2012/06/01","189.0800","5206073.0000","190.1200","191.7200","188.6000"
"2012/05/31","192.9000","9200384.0000","194.1000","194.9300","192.0000"
"2012/05/30","194.5300","3602417.0000","194.8000","195.4700","193.7700"
"2012/05/29","196.4600","3617573.0000","195.2200","198.0800","195.2200"
"2012/05/25","194.3000","2901371.0000","195.1100","196.0000","194.0000"
"2012/05/24","196.0900","3569066.0000","195.9900","196.2800","194.0000"
"2012/05/23","196.1200","4065764.0000","195.5300","196.4900","193.2000"
"2012/05/22","196.8200","3565986.0000","198.0400","198.2600","196.0600"
"2012/05/21","197.7600","3831692.0000","195.9800","197.9300","194.6300"
"2012/05/18","195.8800","5736995.0000","198.7800","198.7800","195.1600"
"2012/05/17","197.8900","5626256.0000","199.6700","200.7900","197.6400"
"2012/05/16","199.7300","5000987.0000","199.4200","201.3500","198.1800"
"2012/05/15","199.0400","2987339.0000","199.4400","201.4679","198.7600"
"2012/05/14","199.4400","3029144.0000","199.9200","200.7100","198.5600"
"2012/05/11","201.1700","2391480.0000","199.9600","202.1200","199.9500"
"2012/05/10","200.6000","3830404.0000","201.0000","203.2500","200.0200"
"2012/05/09","201.2300","3740096.0000","199.9900","203.0000","199.0600"
"2012/05/08","201.4800","3881592.0000","202.4400","203.0600","199.7180"
"2012/05/07","203.7500","3372903.0000","203.9600","204.7700","202.9000"
"2012/05/04","204.9900","4023551.0000","206.4700","207.1100","204.4000"
"2012/05/03","207.2400","2822374.0000","208.2700","208.9200","206.5500"
"2012/05/02","208.0600","2360257.0000","206.9700","208.2700","206.9100"
"2012/05/01","208.0000","2715870.0000","207.1800","208.9290","206.7100"
"2012/04/30","207.0800","2772599.0000","206.7100","207.9600","206.3200"
"2012/04/27","206.8100","3310660.0000","206.4700","208.1700","205.9100"
"2012/04/26","205.5800","3301905.0000","203.4000","206.2100","203.4000"
"2012/04/25","203.5700","4003157.0000","202.0200","203.6900","201.8000"
"2012/04/24","200.0000","5621363.0000","199.0600","202.4800","198.8700"
"2012/04/23","198.6200","3618928.0000","197.8900","199.1000","196.7910"
"2012/04/20","199.6000","4758163.0000","199.8300","200.1200","199.0900"
"2012/04/19","199.5100","5761421.0000","200.0300","201.2600","197.5210"
"2012/04/18","200.1300","10153460.0000","202.4300","204.0700","200.0000"
"2012/04/17","207.4500","6009773.0000","204.5700","207.6400","204.1500"
"2012/04/16","202.7200","3826172.0000","204.7400","205.9700","202.7200"
"2012/04/13","202.8000","3766992.0000","204.3200","204.6499","202.8000"
"2012/04/12","205.3200","2929585.0000","202.8000","205.5600","202.6400"
"2012/04/11","202.5800","3366143.0000","203.9900","204.3200","202.4593"
"2012/04/10","202.3300","4132847.0000","204.9400","205.7400","202.1700"
"2012/04/09","204.9400","3326810.0000","204.4000","206.1700","203.3700"
"2012/04/05","205.4700","3808919.0000","205.1500","205.6800","204.4600"
"2012/04/04","206.0500","4403978.0000","206.2200","206.9802","205.1900"
"2012/04/03","209.5000","4091491.0000","209.3100","210.6900","208.5400"
"2012/04/02","209.4700","3387835.0000","208.9600","209.6900","208.0900"
"2012/03/30","208.6500","3215444.0000","208.7400","209.1200","208.0120"
"2012/03/29","208.2700","3403665.0000","206.0900","208.5000","206.0200"
"2012/03/28","207.2900","3265696.0000","207.4400","208.6900","206.2700"
"2012/03/27","207.1800","2704455.0000","208.4600","208.6600","207.0000"
"2012/03/26","207.7700","3417632.0000","206.4500","207.9200","206.3200"
"2012/03/23","205.4800","3036189.0000","205.8900","205.9600","204.5600"
"2012/03/22","205.4900","3306367.0000","204.0000","205.9900","203.9600"
"2012/03/21","204.6900","3329741.0000","204.3200","205.7700","204.3000"
"2012/03/20","204.2500","3695026.0000","204.7400","205.0000","203.7020"
"2012/03/19","205.7200","3763177.0000","205.7100","206.5300","204.5000"
"2012/03/16","206.0100","9630679.0000","207.0300","207.5200","206.0100"
"2012/03/15","206.0000","3620670.0000","204.9400","206.1800","204.7400"
"2012/03/14","204.7200","4602209.0000","203.7800","205.1500","203.6400"
"2012/03/13","203.7800","4860064.0000","201.7200","203.9000","201.6107"
"2012/03/12","201.0000","3119666.0000","200.9300","201.5700","200.2300"
"2012/03/09","200.6200","3178143.0000","199.9800","201.1000","199.7200"
"2012/03/08","199.8100","3145793.0000","199.2400","199.9900","198.6500"
"2012/03/07","197.7700","3346878.0000","198.0900","198.5700","197.3100"
"2012/03/06","197.2600","5214081.0000","199.1400","199.6400","196.8120"
"2012/03/05","200.6600","6937726.0000","198.3600","201.1900","198.3000"
"2012/03/02","198.8100","3723268.0000","197.1000","198.8900","197.0600"
"2012/03/01","197.5300","3560506.0000","197.2300","198.4700","196.9300"
"2012/02/29","196.7300","5119943.0000","197.8600","199.1700","196.4500"
"2012/02/28","197.9800","3167381.0000","197.7500","198.9600","197.4322"
"2012/02/27","197.5300","3743863.0000","196.7800","198.7100","196.1000"
"2012/02/24","197.7600","3352942.0000","198.3800","198.5600","196.6100"
"2012/02/23","197.6100","8030805.0000","193.8700","199.2300","193.2800"
"2012/02/22","193.8700","3275729.0000","193.0300","194.7400","192.7500"
"2012/02/21","193.3900","3293523.0000","193.7300","194.2400","192.4600"
"2012/02/17","193.4200","3746479.0000","193.7100","193.8600","192.3000"
"2012/02/16","193.0200","3525140.0000","192.6100","193.2500","192.0000"
"2012/02/15","192.2500","4020839.0000","192.3100","193.4400","191.2600"
"2012/02/14","192.2200","3398022.0000","191.7600","192.6000","190.8310"
"2012/02/13","192.6200","2457736.0000","193.3100","193.6900","191.7400"
"2012/02/10","192.4200","3391077.0000","191.7600","192.4300","191.2800"
"2012/02/09","193.1300","3876130.0000","193.0300","194.4600","192.5500"
"2012/02/08","192.9500","3803143.0000","192.7800","193.5800","191.7300"
"2012/02/07","193.3500","3432953.0000","192.4500","194.1400","191.9700"
"2012/02/06","192.8200","3639707.0000","192.4800","193.7600","192.0000"
"2012/02/03","193.6400","4520396.0000","192.9300","194.1300","192.5400"
"2012/02/02","191.5300","3907260.0000","192.7200","193.3300","191.3300"
"2012/02/01","192.6200","5088467.0000","193.2100","194.8100","192.4100"
"2012/01/31","192.6000","4827338.0000","193.0900","193.1000","191.0000"
"2012/01/30","192.5000","4358538.0000","189.3900","192.7300","188.2200"
"2012/01/27","190.4600","3360321.0000","190.0100","191.7700","189.8100"
"2012/01/26","190.9800","4004615.0000","191.7900","192.7900","190.4700"
"2012/01/25","191.7300","4359673.0000","191.3300","192.2399","189.6100"
"2012/01/24","191.9300","5344342.0000","188.6300","192.3050","188.5241"
"2012/01/23","189.9800","5751203.0000","187.9100","190.5200","187.6700"
"2012/01/20","188.5200","12840830.0000","185.7700","188.9700","184.7500"
"2012/01/19","180.5200","8551289.0000","181.7900","182.3599","180.3500"
"2012/01/18","181.0700","4599471.0000","179.8300","181.6000","179.5000"
"2012/01/17","180.0000","6002899.0000","180.3600","182.0000","179.3200"
"2012/01/13","179.1600","5278248.0000","179.4800","179.6100","177.3472"
"2012/01/12","180.5500","6879162.0000","181.8600","181.9100","178.3800"
"2012/01/11","182.3200","4109669.0000","180.7300","182.8100","180.5000"
"2012/01/10","181.3100","5160796.0000","183.2300","183.7200","181.2000"
