DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/01/2016,9:30,BROOKLYN,11219,40.6344673,-73.9927005,"(40.6344673, -73.9927005)",13 AVENUE,50 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381407,VAN,UNKNOWN,,,
02/01/2016,9:30,BROOKLYN,11213,40.6689504,-73.9338885,"(40.6689504, -73.9338885)",SCHENECTADY AVENUE,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3382253,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:25,QUEENS,11102,40.7719586,-73.925125,"(40.7719586, -73.925125)",ASTORIA BOULEVARD,22 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3381781,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:25,BROOKLYN,11207,40.6801424,-73.889405,"(40.6801424, -73.889405)",ARLINGTON AVENUE,BARBEY STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3382230,PASSENGER VEHICLE,OTHER,,,
02/01/2016,9:20,MANHATTAN,10016,40.7463915,-73.9776353,"(40.7463915, -73.9776353)",EAST 35 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381184,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:20,MANHATTAN,10011,40.7404431,-74.0020208,"(40.7404431, -74.0020208)",8 AVENUE,WEST 15 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3381162,PASSENGER VEHICLE,OTHER,,,
02/01/2016,9:20,MANHATTAN,10003,40.7335259,-73.989868,"(40.7335259, -73.989868)",4 AVENUE,EAST 13 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3381156,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:18,,,40.711037,-73.7280965,"(40.711037, -73.7280965)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381627,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:18,QUEENS,11422,40.6652573,-73.7395512,"(40.6652573, -73.7395512)",SOUTH CONDUIT AVENUE,BROOKVILLE BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381637,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:15,QUEENS,11373,40.7312781,-73.8715644,"(40.7312781, -73.8715644)",WOODHAVEN BOULEVARD,BOOTH STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381745,PASSENGER VEHICLE,,,,
02/01/2016,9:13,QUEENS,11429,40.7123213,-73.7320087,"(40.7123213, -73.7320087)",HEMPSTEAD AVENUE,222 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381630,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:12,,,40.7549013,-73.7454772,"(40.7549013, -73.7454772)",,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3381735,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:12,,,,,,NARROWS ROAD NORTH,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Fatigued/Drowsy,,,,3381804,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:10,QUEENS,11411,40.6891471,-73.739191,"(40.6891471, -73.739191)",120 AVENUE,224 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3381631,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
02/01/2016,9:10,QUEENS,11377,40.7415137,-73.8905481,"(40.7415137, -73.8905481)",74 STREET,44 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3381721,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2016,9:10,BROOKLYN,11225,40.6649477,-73.9426118,"(40.6649477, -73.9426118)",KINGSTON AVENUE,MONTGOMERY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3382183,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,9:05,MANHATTAN,10030,40.8184244,-73.9451422,"(40.8184244, -73.9451422)",WEST 138 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381248,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/01/2016,9:05,BROOKLYN,11223,40.6060307,-73.9870242,"(40.6060307, -73.9870242)",STILLWELL AVENUE,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3382122,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:05,BROOKLYN,11203,40.6585289,-73.9395682,"(40.6585289, -73.9395682)",HAWTHORNE STREET,ALBANY AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3382182,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:05,BRONX,10461,40.8545912,-73.8535377,"(40.8545912, -73.8535377)",NEILL AVENUE,YATES AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381339,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,9:02,BROOKLYN,11219,40.6374592,-73.9946422,"(40.6374592, -73.9946422)",NEW UTRECHT AVENUE,48 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3381409,BUS,PASSENGER VEHICLE,,,
02/01/2016,9:00,QUEENS,11432,40.7205355,-73.8021142,"(40.7205355, -73.8021142)",165 STREET,82 ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3381666,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2016,9:00,QUEENS,11427,40.7332966,-73.7342625,"(40.7332966, -73.7342625)",HILLSIDE AVENUE,MUSKET STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381633,PASSENGER VEHICLE,,,,
02/01/2016,9:00,QUEENS,11101,40.7574856,-73.939085,"(40.7574856, -73.939085)",38 AVENUE,21 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3381780,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,9:00,MANHATTAN,10014,40.740023,-74.0052902,"(40.740023, -74.0052902)",WEST 13 STREET,HUDSON STREET,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3381851,PICK-UP TRUCK,,,,
02/01/2016,9:00,BRONX,10463,40.8783127,-73.9052178,"(40.8783127, -73.9052178)",BROADWAY,VERVELEEN PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381349,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/01/2016,8:58,,,,,,HILLSIDE AVENUE,202 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3381595,SPORT UTILITY / STATION WAGON,,,,
