"date","close","volume","open","high","low"
"2012/11/07","667.1200","2231507.0000","675.0000","678.2320","666.4900"
"2012/11/06","681.7200","1582791.0000","685.4800","686.5000","677.5500"
"2012/11/05","682.9600","1635894.0000","684.5000","686.8600","675.5600"
"2012/11/02","687.9180","2324369.0000","694.7900","695.5500","687.3700"
"2012/11/01","687.5900","2048771.0000","679.5000","690.9000","678.7200"
"2012/10/31","680.2976","1536501.0000","679.8600","681.0000","675.0000"
"2012/10/26","675.1500","1950865.0000","676.5000","683.0300","671.2000"
"2012/10/25","677.7600","2399090.0000","680.0000","682.0000","673.5100"
"2012/10/24","677.3022","2494311.0000","686.8000","687.0000","675.2700"
"2012/10/23","680.3500","2915611.0000","672.0100","687.3300","672.0000"
"2012/10/22","678.6700","4055372.0000","681.0100","684.6300","669.7000"
"2012/10/19","681.7900","11479490.0000","705.5800","706.7000","672.0000"
"2012/10/18","695.0000","12407870.0000","755.5400","759.4250","676.0000"
"2012/10/17","755.4900","2292519.0000","743.9500","756.3400","740.2600"
"2012/10/16","744.7000","2058068.0000","740.1300","746.9900","736.4601"
"2012/10/15","740.9800","3017878.0000","741.9400","743.8300","730.7010"
"2012/10/12","744.7500","2403670.0000","751.8500","754.8700","744.1000"
"2012/10/11","751.4800","2383687.0000","752.9000","758.5000","750.2900"
"2012/10/10","744.5600","2039703.0000","741.8600","747.5280","738.2900"
"2012/10/09","744.0900","3002784.0000","759.6700","761.3190","742.5300"
"2012/10/08","757.8400","1957226.0000","761.0000","763.5800","754.1500"
"2012/10/05","767.6500","2735841.0000","770.7100","774.3800","765.0050"
"2012/10/04","768.0500","2452198.0000","762.7500","769.8900","759.4000"
"2012/10/03","762.5000","2208139.0000","755.7200","763.9200","752.2000"
"2012/10/02","756.9900","2768926.0000","765.2000","765.9900","750.2700"
"2012/10/01","761.7800","3167487.0000","759.0500","765.0000","756.2100"
"2012/09/28","754.5000","2783390.0000","754.1500","759.3000","751.1500"
"2012/09/27","756.5000","3920387.0000","759.9500","762.8400","751.6500"
"2012/09/26","753.4600","5672350.0000","749.8500","761.2400","741.0000"
"2012/09/25","749.1600","6048362.0000","753.0500","764.8900","747.6600"
"2012/09/24","749.3800","3560175.0000","731.0000","750.0400","730.2500"
"2012/09/21","733.9900","6356170.0000","732.2100","734.9200","730.1200"
"2012/09/20","728.1166","2906562.0000","724.4700","731.3800","721.2200"
"2012/09/19","727.5000","3097447.0000","717.5000","728.5600","716.4100"
"2012/09/18","718.2800","2066329.0000","707.7800","718.6600","706.7800"
"2012/09/17","709.9800","1507518.0000","708.1100","712.8800","705.0000"
"2012/09/14","709.6800","2618474.0000","709.6000","713.0000","707.0100"
"2012/09/13","706.0400","2657503.0000","693.0900","709.0000","690.5400"
"2012/09/12","690.8800","2641060.0000","689.4100","694.9090","680.8800"
"2012/09/11","692.1900","1869256.0000","697.9600","700.6500","691.0000"
"2012/09/10","700.7700","2559567.0000","709.7600","712.8100","698.3900"
"2012/09/07","706.1500","3231250.0000","700.0000","712.2500","697.6700"
"2012/09/06","699.4000","3042880.0000","685.9600","699.8900","684.7302"
"2012/09/05","680.7200","1708169.0000","680.0000","686.5000","679.1400"
"2012/09/04","681.0400","1889318.0000","684.5500","685.0000","673.5000"
"2012/08/31","685.0900","2125576.0000","684.0000","688.5800","680.0400"
"2012/08/30","681.6800","1626719.0000","684.2400","687.3900","680.1800"
"2012/08/29","688.0100","2988737.0000","677.3700","688.9900","676.1500"
"2012/08/28","677.2500","2057213.0000","665.0000","677.6200","664.7400"
"2012/08/27","669.2200","2613607.0000","662.9900","672.0000","659.2400"
"2012/08/24","678.6300","1426194.0000","675.6000","680.4500","674.0800"
"2012/08/23","676.8000","1783743.0000","674.2700","680.4800","671.0000"
"2012/08/22","677.1800","1908504.0000","667.3800","680.6000","666.6980"
"2012/08/21","669.5100","2221205.0000","673.1100","678.0000","662.1680"
"2012/08/20","675.5400","1756206.0000","675.5000","678.8700","672.6600"
"2012/08/17","677.1400","2177596.0000","674.1200","677.2500","671.7000"
"2012/08/16","672.8700","1717691.0000","667.5100","674.6400","667.0800"
"2012/08/15","667.5400","2410680.0000","670.2800","674.2500","664.1000"
"2012/08/14","668.6600","3660483.0000","659.2500","672.8500","659.0000"
"2012/08/13","660.0100","3267551.0000","647.4200","660.1500","646.6800"
"2012/08/10","642.0000","1434408.0000","638.5900","642.2400","636.1300"
"2012/08/09","642.3500","1057880.0000","644.5100","646.3700","641.5202"
"2012/08/08","642.2300","1320536.0000","639.0500","645.8700","638.5000"
"2012/08/07","640.5400","1981795.0000","641.7900","644.2600","636.4700"
"2012/08/06","642.8200","1782094.0000","639.6100","649.3800","639.2200"
"2012/08/03","641.3300","1896878.0000","640.0000","643.7200","636.1400"
"2012/08/02","628.7500","1977690.0000","625.5100","638.0300","623.4100"
"2012/08/01","632.6800","1844456.0000","637.3000","639.5084","631.3800"
"2012/07/31","632.9700","1863427.0000","628.2600","636.5000","628.2200"
"2012/07/30","632.3000","2186607.0000","636.0500","642.6000","629.5000"
"2012/07/27","634.9600","3548453.0000","618.8900","635.0000","617.5000"
"2012/07/26","613.3600","1684905.0000","615.0000","616.8700","610.0300"
"2012/07/25","607.9900","1822973.0000","608.3200","613.3800","605.3700"
"2012/07/24","607.5700","2006206.0000","615.0000","617.9300","604.3400"
"2012/07/23","615.5100","3549758.0000","600.4800","618.3500","598.2500"
"2012/07/20","610.8200","6463308.0000","608.7600","612.9400","598.1800"
"2012/07/19","593.0600","4623294.0000","586.1400","598.4800","586.0000"
"2012/07/18","580.7600","1547154.0000","576.9800","583.6900","576.1300"
"2012/07/17","576.7300","1679742.0000","578.4300","580.6700","568.4000"
"2012/07/16","574.9200","1462261.0000","576.3700","579.1900","571.7808"
"2012/07/13","576.5200","1975080.0000","572.1500","579.1482","568.5500"
"2012/07/12","570.4800","2309397.0000","567.1200","571.9300","562.0900"
"2012/07/11","571.1900","3499011.0000","576.3000","577.8500","564.9400"
"2012/07/10","581.7000","1923015.0000","590.1900","592.4300","578.7400"
"2012/07/09","586.0100","1714741.0000","584.9500","588.6000","581.2500"
"2012/07/06","585.9800","2160718.0000","592.4500","593.5200","582.8200"
"2012/07/05","595.9200","2345901.0000","588.7600","600.0600","588.5400"
"2012/07/03","587.8300","1190525.0000","580.0100","588.4100","578.0000"
"2012/07/02","580.4700","1655242.0000","581.8200","582.9998","576.5000"
"2012/06/29","580.0700","2518306.0000","574.9600","580.1300","572.2000"
"2012/06/28","564.3100","1920770.0000","565.9000","566.2300","557.2100"
"2012/06/27","569.3000","1691146.0000","567.7000","573.9880","566.0200"
"2012/06/26","564.6800","1350151.0000","562.7600","566.6000","559.4800"
"2012/06/25","560.7000","1581536.0000","567.3300","568.0925","557.3500"
"2012/06/22","571.4800","2202179.0000","568.0000","571.4800","565.8200"
"2012/06/21","565.2100","2010772.0000","579.8400","579.8400","563.7300"
"2012/06/20","577.5100","2346698.0000","579.8100","580.0000","573.5100"
"2012/06/19","581.5300","2075909.0000","573.5900","584.2800","573.1201"
"2012/06/18","570.8500","2496289.0000","562.6200","574.2100","559.2500"
"2012/06/15","564.5100","2998982.0000","560.3400","564.5200","557.0900"
"2012/06/14","559.0500","2341405.0000","561.3000","565.0700","556.5201"
"2012/06/13","561.0900","1952307.0000","561.7200","567.0000","558.6800"
"2012/06/12","565.1000","3222462.0000","569.7700","570.3000","558.5800"
"2012/06/11","568.5000","2660163.0000","584.2100","585.3175","566.6900"
"2012/06/08","580.4500","1410166.0000","575.8500","581.0000","574.5800"
"2012/06/07","578.2300","1757697.0000","587.6000","587.8900","577.2500"
"2012/06/06","580.5700","2095103.0000","576.4800","581.9700","573.6100"
"2012/06/05","570.4100","2339736.0000","575.4500","578.1300","566.4700"
"2012/06/04","578.5900","2432436.0000","570.2200","580.4900","570.0100"
"2012/06/01","570.9800","3057843.0000","571.7900","572.6500","568.3500"
"2012/05/31","580.8600","2966317.0000","588.7200","590.0000","579.0000"
"2012/05/30","588.2300","1906529.0000","588.1600","591.9000","583.5300"
"2012/05/29","594.3400","2604043.0000","595.8100","599.1300","588.3200"
"2012/05/25","591.5300","3581521.0000","601.0000","601.7300","588.2800"
"2012/05/24","603.6600","1890980.0000","609.1600","611.9200","598.8680"
"2012/05/23","609.4600","3170890.0000","601.6500","609.6000","597.1200"
"2012/05/22","600.8000","3049291.0000","613.4400","613.8100","596.0000"
"2012/05/21","614.1100","3075229.0000","600.5100","615.6940","600.0000"
"2012/05/18","600.4000","5970679.0000","625.1000","632.4200","596.7000"
"2012/05/17","623.0500","3353391.0000","633.8300","637.8500","621.2300"
"2012/05/16","628.9300","4834783.0000","617.9600","630.1000","615.9400"
"2012/05/15","611.1100","2102039.0000","605.3500","615.0000","603.7500"
"2012/05/14","604.0000","1821175.0000","600.7800","608.5000","600.5800"
"2012/05/11","605.2300","2098640.0000","610.3500","614.5500","604.7700"
"2012/05/10","613.6600","1533977.0000","612.9600","616.1900","610.2300"
"2012/05/09","609.1500","2328424.0000","606.8200","616.3800","601.8100"
"2012/05/08","612.7900","2675712.0000","605.5300","616.9000","600.7000"
"2012/05/07","607.5500","1994142.0000","595.0000","610.5700","595.0000"
"2012/05/04","596.9700","2207360.0000","605.9200","607.8885","596.8100"
"2012/05/03","611.0200","1866837.0000","609.6200","614.8300","608.9500"
"2012/05/02","607.2600","1611434.0000","601.2000","608.1100","600.6100"
"2012/05/01","604.4300","2002121.0000","603.7900","611.6000","600.1900"
"2012/04/30","604.8500","2405297.0000","612.9900","616.0820","600.6100"
"2012/04/27","614.9800","1634699.0000","615.0200","616.7400","610.6000"
"2012/04/26","615.4700","2091974.0000","610.9100","618.0000","609.7000"
"2012/04/25","609.7200","1819854.0000","604.0000","611.3500","602.8800"
"2012/04/24","601.2700","1928987.0000","598.2400","606.6300","597.3200"
"2012/04/23","597.6000","2197498.0000","592.9000","598.4500","590.2000"
"2012/04/20","596.0600","3056571.0000","604.2500","608.8500","595.8300"
"2012/04/19","599.3000","3294552.0000","605.6900","616.2600","599.0000"
"2012/04/18","607.4500","2668230.0000","608.0500","612.8000","602.8100"
"2012/04/17","609.5700","3012223.0000","608.5600","617.6900","607.0100"
"2012/04/16","606.0700","5691152.0000","623.0000","623.8100","601.6600"
"2012/04/13","624.6000","8157100.0000","647.5500","648.9900","623.5400"
"2012/04/12","651.0100","5700940.0000","642.3500","653.1400","640.2600"
"2012/04/11","635.9600","2198348.0000","633.9700","636.0000","631.3000"
"2012/04/10","626.8600","2476956.0000","633.5200","634.5000","624.5500"
"2012/04/09","630.8400","2179489.0000","628.4800","635.3300","625.2900"
"2012/04/05","632.3200","2317058.0000","632.2400","636.4300","628.5700"
"2012/04/04","635.1500","1627027.0000","638.4500","639.0000","631.1000"
"2012/04/03","642.6200","2044362.0000","645.4100","647.9500","638.6400"
"2012/04/02","646.9200","2283920.0000","640.7700","647.5000","634.8400"
"2012/03/30","641.2400","2310635.0000","651.7500","653.4900","641.0000"
"2012/03/29","648.4100","1923766.0000","653.4400","656.5900","644.3000"
"2012/03/28","655.7600","2538443.0000","652.0300","658.5890","651.0800"
"2012/03/27","647.0200","2005747.0000","647.0300","653.5000","644.8000"
"2012/03/26","649.3300","1819122.0000","645.0000","649.4900","639.5400"
"2012/03/23","642.5900","1940190.0000","646.6000","648.5000","640.9000"
"2012/03/22","646.0500","2409720.0000","638.5000","648.8000","631.0000"
"2012/03/21","639.9800","2469437.0000","634.6100","647.3900","632.5100"
"2012/03/20","633.4900","1540452.0000","630.9200","636.0600","627.2700"
"2012/03/19","633.9800","2172691.0000","623.1200","637.2700","621.2410"
"2012/03/16","625.0400","3050086.0000","620.8900","625.9080","620.0500"
"2012/03/15","621.1300","2435040.0000","616.6000","623.5000","614.8300"
"2012/03/14","615.9900","2936757.0000","615.0000","622.7800","613.4600"
"2012/03/13","617.7800","2243161.0000","608.7500","617.8500","605.5520"
"2012/03/12","605.1500","1668826.0000","600.0000","607.0000","599.2600"
"2012/03/09","600.2500","2670511.0000","607.9500","611.9000","600.0000"
"2012/03/08","607.1400","1345228.0000","610.0400","611.5000","606.3500"
"2012/03/07","606.8000","1264177.0000","609.0500","611.1878","605.8600"
"2012/03/06","604.9600","3174216.0000","608.0500","608.8100","593.8400"
"2012/03/05","614.2500","1593150.0000","620.4300","622.4900","611.3800"
"2012/03/02","621.2500","1573214.0000","622.0000","624.0000","620.3200"
"2012/03/01","622.4000","2236470.0000","622.2600","625.7000","618.1500"
"2012/02/29","618.2500","3136837.0000","618.6000","625.6000","615.5000"
"2012/02/28","618.3900","2847297.0000","610.0000","619.7700","607.6800"
"2012/02/27","609.3100","1810776.0000","606.5900","612.3600","605.0600"
"2012/02/24","609.9000","1934717.0000","607.3500","611.6500","605.5100"
"2012/02/23","606.1100","2053490.0000","607.0000","607.9400","600.3500"
"2012/02/22","607.9400","1966985.0000","611.9600","616.7800","606.7100"
"2012/02/21","614.0000","2480739.0000","603.8700","617.8800","602.8800"
"2012/02/17","604.6400","2448307.0000","604.9700","607.6300","602.4000"
"2012/02/16","606.5200","2530161.0000","602.8200","608.8100","597.7300"
"2012/02/15","605.5600","2420676.0000","612.9300","612.9300","602.5600"
"2012/02/14","609.7600","1803351.0000","611.5400","612.0000","604.7600"
"2012/02/13","612.2000","1816059.0000","610.5000","613.8385","610.0200"
"2012/02/10","605.9100","2328170.0000","607.8800","608.1300","604.0000"
"2012/02/09","611.4600","2264670.0000","612.0200","614.5000","609.0000"
"2012/02/08","609.8500","1835626.0000","608.6400","611.3500","604.7417"
"2012/02/07","606.7700","2091935.0000","607.1500","609.3900","603.7622"
"2012/02/06","609.0900","3679425.0000","595.0100","610.8300","594.0100"
"2012/02/03","596.3300","3167985.0000","590.6600","597.0700","588.0500"
"2012/02/02","585.1100","2414672.0000","584.8700","586.4100","582.0800"
"2012/02/01","580.8300","2319450.0000","584.9400","585.5000","579.1400"
"2012/01/31","580.1100","2143340.0000","583.0000","584.0000","575.1500"
"2012/01/30","577.6900","2330448.0000","578.0500","580.0000","573.4000"
"2012/01/27","579.9800","3617065.0000","570.7800","580.3200","569.3300"
"2012/01/26","568.1000","3225543.0000","571.9800","574.4800","564.5500"
"2012/01/25","569.4900","4985559.0000","577.5100","578.7100","566.3800"
"2012/01/24","580.9300","3053543.0000","586.3200","587.6800","578.0000"
"2012/01/23","585.5200","3412900.0000","586.0000","588.6600","583.1600"
"2012/01/20","585.9900","10574250.0000","590.5300","591.0000","581.7000"
"2012/01/19","639.5700","6191460.0000","640.9900","640.9900","631.4600"
"2012/01/18","632.9100","2760676.0000","626.6300","634.0000","622.1200"
"2012/01/17","628.5800","1909194.0000","631.9800","631.9800","625.6800"
"2012/01/13","624.9900","2306560.0000","626.2600","626.9500","621.0600"
"2012/01/12","629.6400","1874793.0000","631.2200","632.8900","626.5000"
"2012/01/11","625.9600","2398850.0000","623.5000","629.3900","621.1240"
"2012/01/10","623.1400","4393893.0000","629.7500","633.8000","616.9100"
"2012/01/09","622.4600","5821468.0000","646.5000","647.0000","621.2300"
"2012/01/06","650.0200","2692127.0000","659.1500","660.0000","649.7900"
"2012/01/05","659.0100","3278639.0000","662.1300","663.9700","656.2300"
"2012/01/04","668.2800","2855601.0000","665.0300","670.2500","660.6200"
"2012/01/03","665.4100","3671840.0000","652.9400","668.1500","652.3700"
"2011/12/30","645.9000","1780941.0000","642.0200","646.7600","642.0200"
"2011/12/29","642.4000","1571565.0000","641.4900","643.0000","635.2000"
"2011/12/28","639.7000","2126536.0000","642.7500","645.0000","638.1000"
"2011/12/27","640.2500","1604892.0000","632.0500","644.4900","632.0000"
"2011/12/23","633.1400","1453416.0000","632.0000","634.6800","630.5600"
"2011/12/22","629.7000","1821220.0000","627.9500","631.7300","627.0100"
"2011/12/21","625.8200","2497101.0000","630.0100","631.8200","618.9600"
"2011/12/20","630.3700","2385658.0000","628.0000","631.8400","627.9900"
"2011/12/19","621.8300","2142089.0000","628.0100","628.5000","620.0000"
