"date","close","volume","open","high","low"
"12:34","521.0099","9,294,005","530.15","530.20","520.50"
"2012/12/19","526.3100","16008720.0000","531.4700","533.7000","525.5000"
"2012/12/18","533.9000","22306230.0000","525.0000","534.9000","520.2500"
"2012/12/17","518.8300","27025980.0000","508.9300","520.0000","501.2300"
"2012/12/14","509.7940","36016480.0000","514.7500","518.1320","505.5800"
"2012/12/13","529.6900","22281690.0000","531.1500","537.6399","525.8000"
"2012/12/12","539.0000","17375740.0000","547.7700","548.0000","536.2701"
"2012/12/11","541.3880","21117250.0000","539.7700","549.5600","537.3700"
"2012/12/10","529.8209","22496820.0000","525.0000","538.5100","521.5800"
"2012/12/07","533.2500","28086200.0000","553.4000","555.2000","530.0000"
"2012/12/06","547.2445","42009410.0000","528.9400","553.3100","518.6300"
"2012/12/05","538.7923","37114720.0000","568.9100","569.2500","538.7700"
"2012/12/04","575.8454","19816020.0000","581.8000","581.8000","572.1300"
"2012/12/03","586.1900","12987360.0000","593.6500","594.5900","585.5000"
"2012/11/30","585.2800","13946040.0000","586.7900","588.4000","582.6800"
"2012/11/29","589.3600","18342120.0000","590.2150","594.2500","585.2500"
"2012/11/28","582.9400","18587530.0000","577.2700","585.8000","572.2600"
"2012/11/27","584.7800","19014230.0000","589.5500","590.4200","580.1000"
"2012/11/26","589.5300","22462620.0000","575.9000","590.0000","573.7100"
"2012/11/23","571.5000","9743797.0000","567.1700","572.0000","562.6000"
"2012/11/21","561.7000","13318750.0000","564.2500","567.3700","556.6000"
"2012/11/20","560.9134","22933930.0000","571.9100","571.9500","554.5800"
"2012/11/19","565.7300","29348750.0000","540.7100","567.5000","539.8800"
"2012/11/16","527.6780","45170670.0000","525.2000","530.0000","505.7501"
"2012/11/15","525.6200","28165400.0000","537.5300","539.5000","522.6200"
"2012/11/14","536.8800","17003720.0000","545.5000","547.4500","536.1800"
"2012/11/13","542.8980","19028840.0000","538.9100","550.4800","536.3600"
"2012/11/12","542.8300","18400210.0000","554.1500","554.5000","538.6500"
"2012/11/09","547.0600","33185430.0000","540.4200","554.8800","533.7200"
"2012/11/08","537.7500","37638140.0000","560.6300","562.2300","535.2900"
"2012/11/07","558.0019","28307480.0000","573.8350","574.5400","555.7500"
"2012/11/06","582.8495","13368630.0000","590.2300","590.7400","580.0900"
"2012/11/05","584.6211","18888830.0000","583.5150","587.7700","577.6000"
"2012/11/02","576.8000","21388930.0000","595.8900","596.9500","574.7500"
"2012/11/01","596.5399","12898230.0000","598.2200","603.0000","594.1700"
"2012/10/31","595.3200","18194440.0000","594.8800","601.9600","587.7000"
"2012/10/26","604.0000","9999999.0000","609.4300","614.0000","591.0000"
"2012/10/25","609.5380","22759040.0000","620.0000","622.0000","605.5500"
"2012/10/24","616.8300","19892350.0000","621.4400","626.5500","610.6400"
"2012/10/23","613.3554","25213980.0000","631.0000","633.9000","611.7000"
"2012/10/22","634.0300","19482090.0000","612.4200","635.3800","610.7600"
"2012/10/19","609.8400","26516890.0000","631.0500","631.7700","609.6200"
"2012/10/18","632.6400","17003660.0000","639.5900","642.0600","630.0000"
"2012/10/17","644.6136","13885010.0000","648.8700","652.7900","644.0000"
"2012/10/16","649.7925","19601250.0000","635.3700","650.3000","631.0000"
"2012/10/15","634.7600","15421200.0000","632.3500","635.1300","623.8500"
"2012/10/12","629.7140","16411960.0000","629.5600","635.3800","625.3000"
"2012/10/11","628.1000","19477310.0000","646.5000","647.2000","628.1000"
"2012/10/10","640.9100","18188900.0000","639.7400","644.9800","637.0000"
"2012/10/09","635.8500","29912970.0000","638.6500","640.4900","623.5500"
"2012/10/08","638.1700","22741360.0000","646.8800","647.5600","636.1100"
"2012/10/05","652.5900","21169930.0000","665.2000","666.0000","651.2800"
"2012/10/04","666.8000","13216570.0000","671.2500","674.2500","665.5500"
"2012/10/03","671.4500","15121500.0000","664.8600","671.8600","662.6300"
"2012/10/02","661.3100","22327570.0000","661.8100","666.3500","650.6500"
"2012/10/01","659.3900","19384920.0000","671.1600","676.7500","656.5000"
"2012/09/28","667.1050","19081350.0000","678.7500","681.1100","666.7500"
"2012/09/27","681.3200","21148210.0000","664.2900","682.1700","660.3500"
"2012/09/26","665.1800","20584050.0000","668.7400","672.6900","661.2000"
"2012/09/25","673.5400","18482370.0000","688.2600","692.7800","673.0000"
"2012/09/24","690.7900","22776560.0000","686.8600","695.1200","683.0000"
"2012/09/21","700.0950","20368960.0000","702.4100","705.0700","699.3617"
"2012/09/20","698.7000","11992830.0000","699.1600","700.0600","693.6200"
"2012/09/19","702.1000","11653670.0000","700.2600","703.9900","699.5700"
"2012/09/18","701.9100","13305620.0000","699.8800","702.3300","696.4200"
"2012/09/17","699.7810","14131190.0000","699.3500","699.8000","694.6100"
"2012/09/14","691.2800","21411040.0000","689.9550","696.9800","687.8900"
"2012/09/13","682.9800","21323150.0000","677.3700","685.5000","674.7700"
"2012/09/12","669.7900","25369980.0000","666.8500","669.9000","656.0000"
"2012/09/11","660.5900","17965840.0000","665.1100","670.1000","656.5000"
"2012/09/10","662.7400","17364560.0000","680.4500","683.2900","662.1000"
"2012/09/07","680.4400","11746880.0000","678.0500","682.4800","675.7700"
"2012/09/06","676.2700","13962710.0000","673.1700","678.2900","670.8000"
"2012/09/05","670.2300","11992830.0000","675.5700","676.3500","669.6000"
"2012/09/04","674.9700","13115000.0000","665.7600","675.1400","664.5000"
"2012/08/31","665.2400","12066210.0000","667.2500","668.6000","657.2500"
"2012/08/30","663.8680","10787750.0000","670.6400","671.5540","662.8530"
"2012/08/29","673.4660","7220648.0000","675.2500","677.6700","672.6000"
"2012/08/28","674.8000","9529868.0000","674.9770","676.1000","670.6730"
"2012/08/27","675.6800","15225110.0000","679.9900","680.8700","673.5400"
"2012/08/24","663.2220","15296300.0000","659.5100","669.4800","655.5500"
"2012/08/23","662.6300","14979320.0000","666.1100","669.9000","661.1500"
"2012/08/22","668.8700","20128590.0000","654.4200","669.0000","648.1100"
"2012/08/21","656.0620","28970360.0000","670.8200","674.8800","650.3300"
"2012/08/20","665.1500","21856070.0000","650.0100","665.1500","649.9000"
"2012/08/17","648.1100","15779620.0000","640.0000","648.1900","638.8100"
"2012/08/16","636.3400","9085907.0000","631.2100","636.7600","630.5000"
"2012/08/15","630.8300","9186758.0000","631.3000","634.0000","627.7500"
"2012/08/14","631.6900","12134150.0000","631.8700","638.6100","630.2100"
"2012/08/13","630.0000","9937433.0000","623.3900","630.0000","623.2500"
"2012/08/10","621.7000","6960944.0000","618.7100","621.7600","618.7000"
"2012/08/09","620.7300","7868831.0000","617.8500","621.7300","617.8000"
"2012/08/08","619.8600","8710104.0000","619.3900","623.8800","617.1000"
"2012/08/07","620.9140","10365550.0000","622.7700","625.0000","618.0400"
"2012/08/06","622.5500","10784030.0000","617.2900","624.8680","615.2600"
"2012/08/03","615.7000","12297610.0000","613.6300","617.9800","611.5600"
"2012/08/02","607.7900","11860480.0000","602.8400","610.6900","600.2500"
"2012/08/01","606.8100","13714670.0000","615.9050","616.4000","603.0000"
"2012/07/31","610.7600","16481860.0000","603.2300","611.7000","602.7200"
"2012/07/30","595.0300","13518120.0000","590.9200","599.4400","587.8200"
"2012/07/27","585.1600","14422370.0000","575.0100","585.8300","571.5900"
"2012/07/26","574.8800","14515860.0000","579.7600","580.4000","570.3600"
"2012/07/25","574.9700","31315920.0000","574.4600","580.8000","570.0000"
"2012/07/24","600.9200","19621660.0000","607.3800","609.6800","598.5100"
"2012/07/23","603.8300","17377450.0000","594.4000","605.9000","587.7100"
"2012/07/20","604.3000","14175310.0000","613.0300","614.4400","603.7000"
"2012/07/19","614.3200","15568840.0000","611.2800","615.3500","606.0000"
"2012/07/18","606.2600","8955070.0000","606.5900","608.3400","603.5600"
