time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-14T21:19:31.900Z,-18.4494,176.3176,27.06,4.5,mb,,115,1.793,0.62,us,us10007tb5,2017-01-14T22:11:59.040Z,"136km WSW of Nadi, Fiji",earthquake,9.2,6.9,0.156,12,reviewed,us,us
2017-01-14T18:43:32.520Z,-10.9493,161.4587,34.44,5.2,mb,,55,2.113,0.95,us,us10007tau,2017-01-14T19:05:53.040Z,"74km SW of Kirakira, Solomon Islands",earthquake,9,5.6,0.073,61,reviewed,us,us
2017-01-14T18:25:44.010Z,-18.6661,176.0729,10,5.5,mb,,39,2.093,0.92,us,us10007tas,2017-01-14T20:31:14.814Z,"171km SW of Nadi, Fiji",earthquake,7.1,1.8,0.034,305,reviewed,us,us
2017-01-14T15:19:39.170Z,33.4705,138.2513,281.21,4.5,mb,,55,1.205,0.89,us,us10007tad,2017-01-14T17:44:25.040Z,"125km S of Oyama, Japan",earthquake,8,7.2,0.074,53,reviewed,us,us
2017-01-14T11:41:18.850Z,1.2256,126.39,22.82,5.6,mb,,37,1.075,0.87,us,us10007t9u,2017-01-14T17:15:34.040Z,"119km WNW of Kota Ternate, Indonesia",earthquake,4.4,4.9,0.057,109,reviewed,us,us
2017-01-14T10:34:51.160Z,-15.1203,-173.2494,10,5.4,mb,,37,1.866,1.03,us,us10007t9m,2017-01-14T14:08:48.730Z,"106km NNE of Hihifo, Tonga",earthquake,7.2,1.8,0.04,214,reviewed,us,us
2017-01-14T09:31:45.090Z,-18.7325,176.3411,10,4.9,mb,,116,1.9,0.77,us,us10007t9e,2017-01-14T09:57:10.040Z,"153km SW of Nadi, Fiji",earthquake,10.7,1.9,0.08,49,reviewed,us,us
2017-01-14T06:41:03.180Z,-2.6129,128.9246,35.64,4.8,mb,,120,3.334,0.83,us,us10007t93,2017-01-14T06:56:22.040Z,"56km ENE of Taniwel, Indonesia",earthquake,6.5,8.8,0.113,24,reviewed,us,us
2017-01-14T06:11:41.630Z,-18.5884,176.2304,10,6.1,mwp,,39,1.925,1.34,us,us10007t8x,2017-01-14T16:37:33.000Z,"152km SW of Nadi, Fiji",earthquake,7.4,1.7,0.063,30,reviewed,us,us
2017-01-14T03:34:32.930Z,10.6515,-62.2764,86.91,4.5,mb,,99,1.593,0.74,us,us10007t8p,2017-01-14T03:54:32.040Z,"8km NNE of Gueiria, Venezuela",earthquake,9.3,13.4,0.145,18,reviewed,us,us
2017-01-13T23:06:50.320Z,2.7103,126.8172,60.35,4.7,mb,,107,2.002,0.84,us,us10007t71,2017-01-13T23:26:35.040Z,"171km NW of Tobelo, Indonesia",earthquake,8.8,7.1,0.071,61,reviewed,us,us
2017-01-13T16:39:25.560Z,0.0313,125.066,46.01,5.7,mb,,37,2.415,1.33,us,us10007t3y,2017-01-13T20:14:06.040Z,"106km SE of Modayag, Indonesia",earthquake,6.8,7.7,0.071,71,reviewed,us,us
2017-01-13T13:14:48.660Z,-58.9019,-26.2726,160.7,5,mb,,87,15.949,0.53,us,us10007t3c,2017-01-13T13:32:45.040Z,"20km NE of Bristol Island, South Sandwich Islands",earthquake,11.8,7.8,0.065,76,reviewed,us,us
2017-01-13T12:28:39.820Z,26.5837,127.8165,52.85,4.6,mb,,70,0.479,1.08,us,us10007t3b,2017-01-15T18:20:26.619Z,"15km W of Nago, Japan",earthquake,7.5,7.3,0.082,44,reviewed,us,us
2017-01-13T06:42:58.760Z,-6.2452,147.5543,65.58,4.7,mb,,89,3.163,0.61,us,us10007t19,2017-01-13T08:09:34.040Z,"52km NW of Finschhafen, Papua New Guinea",earthquake,7.8,5.5,0.113,24,reviewed,us,us
2017-01-13T06:10:20.780Z,12.2459,141.0757,10,4.8,mb,,59,3.931,0.6,us,us10007t18,2017-01-13T06:45:07.040Z,"280km NNE of Fais, Micronesia",earthquake,10.9,1.9,0.086,42,reviewed,us,us
2017-01-13T05:46:08.690Z,52.539,-176.334,176.54,4.5,mb,,112,0.692,0.62,us,us10007t12,2017-01-13T20:52:49.986Z,"76km NNE of Adak, Alaska",earthquake,9.1,13.5,0.046,136,reviewed,us,us
2017-01-13T05:31:58.860Z,-10.6853,161.9326,33.95,4.7,mb,,52,2.314,0.85,us,us10007t0y,2017-01-13T06:01:47.040Z,"25km S of Kirakira, Solomon Islands",earthquake,7.6,5.7,0.106,27,reviewed,us,us
2017-01-13T05:30:52.060Z,-6.7621,68.5457,10,5.1,mb,,121,3.93,1.18,us,us10007t0z,2017-01-13T05:57:00.040Z,"Chagos Archipelago region",earthquake,9.3,1.8,0.078,54,reviewed,us,us
2017-01-13T03:25:29.060Z,35.6456,140.7808,32.27,5,mb,,103,2.219,1.48,us,us10007t0n,2017-01-13T16:47:58.409Z,"10km SSW of Hasaki, Japan",earthquake,6.2,4.6,0.051,124,reviewed,us,us
2017-01-13T01:20:53.690Z,37.5026,141.4872,13.76,4.5,mb,,118,0.663,0.77,us,us10007t0e,2017-01-13T09:23:31.894Z,"43km E of Namie, Japan",earthquake,3.4,4.6,0.07,59,reviewed,us,us
2017-01-12T19:23:57.000Z,-30.4,-71.487,23.8,4.7,mb,,,,1.26,us,us10007sxd,2017-01-13T11:29:39.796Z,"35km NW of Ovalle, Chile",earthquake,6,5.1,0.123,20,reviewed,guc,us
2017-01-12T17:04:58.630Z,41.7658,133.0442,481.83,4.8,mb,,36,2.553,0.68,us,us10007swd,2017-01-13T03:44:58.167Z,"107km S of Vrangel', Russia",earthquake,8.2,5.4,0.028,384,reviewed,us,us
2017-01-12T16:06:32.180Z,6.0821,-77.9221,6.02,5.2,mww,,37,3.604,0.86,us,us10007svx,2017-01-13T21:35:52.608Z,"59km WSW of Mutis, Colombia",earthquake,6.6,2.9,0.054,33,reviewed,us,us
2017-01-12T13:29:08.560Z,-5.2552,102.735,38.19,5.4,mb,,84,0.915,1.03,us,us10007sv2,2017-01-12T13:42:18.040Z,"116km WSW of Kuripan, Indonesia",earthquake,7,7,0.072,67,reviewed,us,us
2017-01-12T10:26:58.630Z,16.8233,-98.3622,10,5,mb,,187,0.76,1.4,us,us10007suf,2017-01-12T17:04:20.807Z,"12km WNW of Xochistlahuaca, Mexico",earthquake,5.3,2,0.029,379,reviewed,us,us
2017-01-12T09:00:06.410Z,-18.1388,-69.1502,133.55,5.2,mb,,50,0.391,1.2,us,us10007ssn,2017-01-12T09:27:50.692Z,"43km E of Putre, Chile",earthquake,6.7,6.5,0.03,359,reviewed,us,us
2017-01-12T03:22:48.000Z,13.9381,-91.1743,56.05,5.3,mb,,121,1.408,1.04,us,us10007srd,2017-01-13T16:15:08.516Z,"20km SW of La Gomera, Guatemala",earthquake,2.9,7.6,0.027,464,reviewed,us,us
2017-01-12T00:36:30.550Z,36.1514,140.0759,79.78,4.5,mb,,154,1.561,0.82,us,us10007sr9,2017-01-13T03:53:04.113Z,"5km SSW of Tsukuba, Japan",earthquake,7.9,6.5,0.102,28,reviewed,us,us
2017-01-11T22:06:59.150Z,-20.1581,46.6332,8.7,5.5,mww,,41,1.265,0.72,us,us10007snb,2017-01-12T18:15:22.718Z,"42km SSW of Betafo, Madagascar",earthquake,6,3.3,0.093,11,reviewed,us,us
2017-01-11T21:58:17.910Z,-22.8175,-69.8823,69.06,5.8,mww,,84,0.307,1.4,us,us10007sn1,2017-01-12T23:15:40.168Z,"86km SSE of Tocopilla, Chile",earthquake,5.1,2.2,0.054,33,reviewed,us,us
2017-01-11T21:41:09.650Z,12.2801,141.1447,43,5,mb,,59,3.856,0.86,us,us10007smq,2017-01-11T21:57:35.040Z,"286km NNE of Fais, Micronesia",earthquake,9.2,7.4,0.067,70,reviewed,us,us
2017-01-11T20:06:07.690Z,-20.4505,-178.0979,529.91,4.9,mb,,108,4.526,0.91,us,us10007sll,2017-01-11T20:19:36.040Z,"66km ENE of Ndoi Island, Fiji",earthquake,14.9,11.4,0.12,22,reviewed,us,us
2017-01-11T19:42:46.360Z,51.3692,-178.0121,32.2,5,mb,,111,0.721,1.04,us,us10007sl6,2017-01-11T21:26:17.023Z,"57km S of Tanaga Volcano, Alaska",earthquake,8.1,4.7,0.035,254,reviewed,us,us
