time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-15T02:59:47.290Z,-21.9878,-68.8425,102.55,4.6,mb,,46,0.417,0.72,us,us10001mgq,2015-03-15T11:02:19.684Z,"53km N of Calama, Chile",earthquake
2015-03-15T02:17:03.150Z,-22.2706,-176.3995,67.9,5.2,mb,,40,6.842,1.01,us,us10001mgf,2015-03-15T21:48:00.040Z,"171km SW of Vaini, Tonga",earthquake
2015-03-14T23:32:54.810Z,-71.7919,-126.3183,10,5,mb,,79,17.474,0.77,us,us10001mft,2015-03-15T07:35:32.395Z,"186km N of Siple, Mount, Antarctica",earthquake
2015-03-14T23:15:12.850Z,-5.6732,146.3768,68.14,4.9,mb,,74,3.738,0.78,us,us10001mfq,2015-03-14T23:34:21.818Z,"81km SE of Madang, Papua New Guinea",earthquake
2015-03-14T22:41:14.500Z,-15.3627,-173.3948,10,4.6,mb,,88,2.13,0.6,us,us10001mfk,2015-03-15T06:43:49.443Z,"75km NNE of Hihifo, Tonga",earthquake
2015-03-14T22:30:59.920Z,-5.729,146.4032,81.06,4.8,mb,,57,3.728,0.67,us,us10001mfe,2015-03-15T06:33:42.672Z,"85km NE of Kainantu, Papua New Guinea",earthquake
2015-03-14T21:59:14.940Z,-2.173,141.4916,10,5.2,mb,,91,9.13,0.71,us,us10001mf9,2015-03-15T06:01:44.818Z,"59km NNE of Vanimo, Papua New Guinea",earthquake
2015-03-14T20:21:32.540Z,-18.4079,-175.3665,208.04,4.9,mb,,56,5.196,1.01,us,us10001mes,2015-03-15T04:24:01.414Z,"148km W of Neiafu, Tonga",earthquake
2015-03-14T18:39:53.510Z,4.055,126.906,50.17,4.6,mb,,93,3.293,0.67,us,us10001me7,2015-03-17T16:48:26.927Z,"218km SE of Sarangani, Philippines",earthquake
2015-03-14T16:03:47.020Z,-27.802,-71.1155,34.88,5.1,mb,,129,0.388,1.16,us,us10001mda,2015-03-15T02:17:36.068Z,"91km WSW of Copiapo, Chile",earthquake
2015-03-14T15:36:10.350Z,34.2892,141.7599,22.88,5.4,mb,,146,2,0.96,us,us10001md6,2015-03-14T23:38:45.728Z,"163km SE of Katsuura, Japan",earthquake
2015-03-14T13:48:26.990Z,24.6008,125.4838,48.71,4.6,mb,,95,2.255,1.39,us,us10001mci,2015-03-14T15:49:13.083Z,"29km SE of Hirara, Japan",earthquake
2015-03-14T08:05:57.230Z,6.748,-72.9986,158.54,4.5,mb,,120,2.303,0.91,us,us10001mbq,2015-03-14T16:08:29.552Z,"6km NNE of Aratoca, Colombia",earthquake
2015-03-14T06:13:36.590Z,12.6717,-87.8852,65.88,4.7,mb,,141,0.439,1.16,us,us10001mbh,2015-03-14T14:16:03.401Z,"47km W of Jiquilillo, Nicaragua",earthquake
2015-03-14T06:13:34.990Z,33.1789,115.7976,10,4.7,mb,,56,5.024,0.59,us,us10001mbl,2015-03-14T14:16:07.971Z,"13km E of Taihe Chengguanzhen, China",earthquake
2015-03-14T06:13:18.160Z,-15.0407,166.8747,35.12,4.9,mb,,118,7.005,0.74,us,us10001mbj,2015-03-14T14:15:55.713Z,"18km W of Port-Olry, Vanuatu",earthquake
