time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-17T16:09:22.100Z,34.2098333,-116.8455,7.31,2.52,ml,83,32,0.0814,0.15,ci,ci37341080,2015-03-17T23:14:16.273Z,"6km S of Big Bear City, California",earthquake
2015-03-17T16:01:54.980Z,-4.7121,133.6209,34.15,4.5,mb,,143,2.246,1.02,us,us10001n5f,2015-03-18T00:04:33.630Z,"134km NNW of Dobo, Indonesia",earthquake
2015-03-17T15:57:15.430Z,36.0978,0.4344,11.53,4.3,mb,,167,0.179,0.88,us,us10001n61,2015-03-18T00:00:11.193Z,"36km ENE of Mostaganem, Algeria",earthquake
2015-03-17T15:48:04.110Z,44.6234,146.8194,27.45,4.7,mb,,134,3.072,0.56,us,us10001n53,2015-03-17T23:50:47.689Z,"91km N of Shikotan, Russia",earthquake
2015-03-17T15:15:43.500Z,36.6538,-97.8744,6,2.6,ml,,64,,0.52,us,us10001n5g,2015-03-17T23:18:19.446Z,"21km SW of Medford, Oklahoma",earthquake
2015-03-17T15:14:42.000Z,63.5868,-150.7584,11.2,3.5,ml,,,,0.86,ak,ak11530318,2015-03-17T23:17:24.482Z,"92km WNW of Cantwell, Alaska",earthquake
2015-03-17T14:48:26.430Z,35.7558,140.0684,100.39,4.4,mb,,97,0.484,0.62,us,us10001n3l,2015-03-17T22:50:56.724Z,"4km S of Shiroi, Japan",earthquake
2015-03-17T14:19:29.000Z,59.6726,-152.358,111.4,2.6,ml,,,,0.57,ak,ak11530309,2015-03-17T22:22:01.778Z,"31km WSW of Anchor Point, Alaska",earthquake
2015-03-17T14:10:53.000Z,59.794,-152.1173,69,3,ml,,,,0.57,ak,ak11530304,2015-03-17T22:13:29.340Z,"16km W of Anchor Point, Alaska",earthquake
2015-03-17T13:31:31.100Z,35.5441,-96.7609,5,2.8,ml,,65,,0.64,us,us10001n36,2015-03-17T16:05:27.650Z,"9km NW of Prague, Oklahoma",earthquake
2015-03-17T12:02:36.100Z,19.7194,-66.0985,7,3.4,Md,9,302.4,1.30076053,0.56,pr,pr15076003,2015-03-17T20:05:04.378Z,"138km N of San Juan, Puerto Rico",earthquake
2015-03-17T11:39:39.100Z,19.7749,-65.9876,72,4,Md,14,291.6,1.38879543,0.5,pr,pr15076002,2015-03-17T13:34:19.419Z,"145km N of San Juan, Puerto Rico",earthquake
2015-03-17T11:11:17.100Z,36.3316,-97.198,5,2.5,ml,,113,,0.42,us,us10001n3h,2015-03-17T21:14:23.035Z,"9km ENE of Perry, Oklahoma",earthquake
2015-03-17T10:56:20.200Z,-0.6851,122.2644,16.24,4.4,mb,,72,0.618,0.57,us,us10001n0q,2015-03-17T18:58:50.110Z,"65km WNW of Luwuk, Indonesia",earthquake
2015-03-17T10:31:43.290Z,-0.5908,122.4168,28.34,4.8,mb,,34,0.571,1.05,us,us10001n0c,2015-03-17T18:34:14.999Z,"57km NW of Luwuk, Indonesia",earthquake
2015-03-17T10:11:18.500Z,36.2878,26.607,116.24,4.4,mb,,82,0.865,1.03,us,us10001n08,2015-03-17T18:14:01.843Z,"37km SE of Astypalaia, Greece",earthquake
2015-03-17T09:59:10.900Z,27.8736,139.3708,512.06,4.3,mb,,71,2.617,0.57,us,us10001n07,2015-03-17T18:02:12.736Z,"294km WNW of Chichi-shima, Japan",earthquake
2015-03-17T08:45:46.460Z,40.4280014,-125.5241699,5.09,2.75,md,26,282,0.9768,0.28,nc,nc72412660,2015-03-17T16:48:32.864Z,"108km W of Ferndale, California",earthquake
2015-03-17T07:28:57.230Z,36.6458,-97.8552,5,2.6,mb_lg,,45,0.174,0.6,us,us10001mzt,2015-03-17T15:31:29.722Z,"20km SSW of Medford, Oklahoma",earthquake
2015-03-17T05:50:10.440Z,37.0019,-97.8145,5,3.2,mb_lg,,38,0.116,0.72,us,us10001mzg,2015-03-17T12:43:13.297Z,"18km W of Caldwell, Kansas",earthquake
2015-03-17T05:36:47.280Z,40.1710014,-121.0634995,0.04,3.79,mw,84,76,0.1865,0.39,nc,nc72412550,2015-03-18T04:14:01.420Z,"10km WNW of Greenville, California",earthquake
2015-03-17T05:16:33.900Z,18.6779,-66.6641,16,2.8,Md,15,219.6,0.23625692,0.36,pr,pr15076001,2015-03-17T13:19:04.341Z,"23km NNE of Arecibo, Puerto Rico",earthquake
2015-03-17T04:47:30.000Z,61.2707,-141.6526,5.5,3.2,ml,,,,0.78,ak,ak11530234,2015-03-17T12:50:11.056Z,"140km NNE of Cape Yakataga, Alaska",earthquake
2015-03-17T04:45:38.000Z,61.0994,-151.0286,57,2.5,ml,,,,0.91,ak,ak11530230,2015-03-17T12:48:22.194Z,"47km NNE of Nikiski, Alaska",earthquake
2015-03-17T03:20:20.350Z,33.2278333,-115.9655,6.04,2.98,ml,64,26,0.05484,0.18,ci,ci37340624,2015-03-17T15:49:45.810Z,"8km S of Salton City, California",earthquake
2015-03-17T00:03:59.930Z,36.3551,-97.1083,3.55,3,mb_lg,,27,0.371,0.49,us,us10001mxc,2015-03-17T08:06:33.315Z,"17km ENE of Perry, Oklahoma",earthquake
2015-03-16T22:50:19.470Z,35.8389,5.6538,10,4,mb,,99,3.003,1.12,us,us10001mzr,2015-03-18T00:53:41.404Z,"18km N of Ras el Aioun, Algeria",earthquake
2015-03-16T22:46:09.450Z,35.8403,-97.2669,5.17,3.2,mb_lg,,34,0.158,0.29,us,us10001mx8,2015-03-16T23:57:49.936Z,"11km S of Langston, Oklahoma",earthquake
2015-03-16T22:33:27.800Z,28.0077,139.6283,490.12,4.4,mb,,60,2.444,0.72,us,us10001mx1,2015-03-17T06:35:55.786Z,"275km WNW of Chichi-shima, Japan",earthquake
2015-03-16T22:06:36.230Z,-5.7135,151.1048,74.81,5.1,mb,,56,1.843,1.2,us,us10001mwt,2015-03-17T06:09:17.947Z,"108km E of Kimbe, Papua New Guinea",earthquake
2015-03-16T21:26:27.600Z,19.3269,-65.2602,51,3.2,Md,4,331.2,1.01419796,0.23,pr,pr15075003,2015-03-17T05:29:06.396Z,"113km N of Culebra, Puerto Rico",earthquake
2015-03-16T18:24:46.400Z,19.6625,-63.5817,74,3.4,Md,4,345.6,2.0984645,0.1,pr,pr15075002,2015-03-17T02:27:14.473Z,"169km NNW of The Valley, Anguilla",earthquake
2015-03-16T18:05:38.730Z,49.3085,-129.5462,10,4,mb,,186,3.02,1.3,us,us10001mte,2015-03-17T02:08:17.049Z,"217km SW of Port Hardy, Canada",earthquake
2015-03-16T17:43:49.600Z,36.6343,-97.6491,5.8,2.8,ml,,90,,0.85,us,us10001mtp,2015-03-16T22:02:21.751Z,"20km SSE of Medford, Oklahoma",earthquake
2015-03-16T17:39:29.150Z,-0.3957,120.0125,34.23,4.4,mb,,76,1.682,0.85,us,us10001mta,2015-03-17T01:42:11.968Z,"57km NNE of Palu, Indonesia",earthquake
2015-03-16T16:40:01.800Z,36.63,-98.0972,6.359,2.8,ml,,87,,0.36,us,us10001msx,2015-03-17T00:42:29.760Z,"18km ENE of Helena, Oklahoma",earthquake
2015-03-16T16:31:46.000Z,35.8192,-97.4471,5,2.6,ml,,69,,0.37,us,us10001msv,2015-03-17T00:34:29.343Z,"6km SSW of Guthrie, Oklahoma",earthquake
2015-03-16T16:23:07.500Z,19.2889,-65.1843,55,3.1,Md,3,331.2,0.97916366,0.1,pr,pr15075001,2015-03-17T13:21:11.040Z,"108km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-03-16T16:13:06.000Z,19.2381,-65.194,54,3.1,Md,8,306,0.928858,0.23,pr,pr15075000,2015-03-17T00:15:39.683Z,"103km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-03-16T15:49:49.050Z,45.6587,26.4354,115.7,4.5,mb,,56,0.22,0.76,us,us10001msg,2015-03-17T19:35:28.381Z,"17km SE of Comandau, Romania",earthquake
2015-03-16T15:28:46.900Z,35.812,-97.2366,5.73,3,ml,,78,,0.38,us,us10001msn,2015-03-16T17:00:41.099Z,"14km S of Langston, Oklahoma",earthquake
2015-03-16T14:23:51.240Z,26.7906,128.2807,55.2,4.5,mb,,65,0.045,0.75,us,us10001ms2,2015-03-18T00:53:33.780Z,"37km NE of Nago, Japan",earthquake
2015-03-16T14:15:51.500Z,35.8121,-97.2395,4.3,3,ml,,78,,0.5,us,us10001ms3,2015-03-16T16:59:00.071Z,"14km S of Langston, Oklahoma",earthquake
2015-03-16T13:54:49.270Z,28.0506,131.0746,19.63,4.6,mb,,68,2.225,0.69,us,us10001mru,2015-03-17T14:44:39.985Z,"160km ESE of Naze, Japan",earthquake
2015-03-16T13:48:41.590Z,7.784,-71.918,49.04,4.5,mb,,59,1.675,0.55,us,us10001mrt,2015-03-16T21:51:18.413Z,"15km SSE of San Jose de Bolivar, Venezuela",earthquake
2015-03-16T13:19:00.700Z,35.8053,-97.233,6.955,3.2,ml,,72,,0.54,us,us10001mqr,2015-03-16T17:01:08.847Z,"15km S of Langston, Oklahoma",earthquake
2015-03-16T11:18:37.850Z,37.4155,20.1771,30.72,4.4,mb,,163,1.413,0.75,us,us10001mqf,2015-03-16T19:21:11.516Z,"66km WSW of Mouzaki, Greece",earthquake
2015-03-16T11:13:11.080Z,36.4983,3.0692,10,3.7,mb,,87,2.013,1.31,us,us10001mqk,2015-03-16T21:35:57.571Z,"4km SSW of Bougara, Algeria",earthquake
2015-03-16T07:19:20.820Z,40.315,-124.5883333,20.42,2.52,md,31,240,0.2326,0.15,nc,nc72412135,2015-03-16T20:43:04.708Z,"39km SW of Ferndale, California",earthquake
2015-03-16T06:13:12.370Z,37.1989,-97.881,7.51,2.9,mb_lg,,40,0.002,0.25,us,us10001mpu,2015-03-16T14:15:38.836Z,"14km ENE of Anthony, Kansas",earthquake
2015-03-16T05:48:27.120Z,37.213,-97.878,7.97,3.5,mb_lg,,43,0.015,0.31,us,us10001mps,2015-03-17T02:52:48.434Z,"15km ENE of Anthony, Kansas",earthquake
2015-03-16T04:45:39.920Z,-17.7708,-178.594,559.89,4.5,mb,,72,3.195,0.91,us,us10001mpn,2015-03-16T12:48:09.980Z,"262km SE of Lambasa, Fiji",earthquake
2015-03-16T03:21:43.900Z,-4.1176,151.9617,198.21,4.5,mb,,128,0.214,1.04,us,us10001mpc,2015-03-16T11:24:22.684Z,"24km WNW of Rabaul, Papua New Guinea",earthquake
2015-03-16T03:00:06.370Z,-4.1005,152.0423,198.87,5.9,mwp,,20,0.15,0.96,us,us10001mp3,2015-03-17T04:54:18.000Z,"17km NW of Rabaul, Papua New Guinea",earthquake
2015-03-16T02:29:40.000Z,-24.1499,-67.1057,217.29,4.2,mb,,75,2.256,1.18,us,us10001mp0,2015-03-16T10:32:20.532Z,"80km W of San Antonio de los Cobres, Argentina",earthquake
2015-03-16T01:39:47.160Z,-9.4996,112.9397,55.31,4.2,mb,,87,1.575,0.86,us,us10001mny,2015-03-16T09:42:27.370Z,"123km SSE of Krajan Tambakrejo, Indonesia",earthquake
2015-03-16T00:28:02.450Z,-18.2516,-177.9303,612.82,4.4,mb,,94,3.855,0.6,us,us10001mnj,2015-03-16T08:30:34.802Z,"277km NNE of Ndoi Island, Fiji",earthquake
2015-03-15T23:17:17.200Z,-0.5154,122.3195,31.5,5.9,mwb,,16,0.691,1.16,us,us10001mm0,2015-03-17T04:43:51.000Z,"70km NW of Luwuk, Indonesia",earthquake
2015-03-15T22:47:35.450Z,-26.1539,-11.4976,14.49,5.4,mb,,81,11.475,0.45,us,us10001mlp,2015-03-16T06:50:10.107Z,"Southern Mid-Atlantic Ridge",earthquake
2015-03-15T21:29:58.140Z,-15.0892,166.7743,58.35,5.3,mb,,57,6.952,0.93,us,us10001ml5,2015-03-16T05:32:41.488Z,"29km W of Port-Olry, Vanuatu",earthquake
