 	Lat. n.		Long. w.	
City	°	'	°	'
Albany, N.Y.	42	40	73	45
Albuquerque, N.M.	35	5	106	39
Amarillo, Tex.	35	11	101	50
Anchorage, Alaska	61	13	149	54
Atlanta, Ga.	33	45	84	23
Austin, Tex.	30	16	97	44
